,Glottocode,label_,outlier_prob,cluster_prob
0,abui1241,3,0.0,1.0
1,ache1246,2,0.0,1.0
2,achi1257,3,0.0,1.0
3,adan1251,11,0.0,1.0
4,adny1235,-1,0.25,0.0
5,afri1274,10,0.0,1.0
6,aghu1253,10,0.0,1.0
7,agua1253,2,0.0,1.0
8,ahin1234,10,0.0,1.0
9,akka1240,10,0.0,1.0
10,akla1241,10,0.0,1.0
11,alan1249,10,0.0,1.0
12,alba1267,2,0.0,1.0
13,algo1255,7,0.0,1.0
14,alya1239,2,0.0,1.0
15,amha1245,10,0.0,1.0
16,ampi1237,10,0.0,1.0
17,anci1242,2,0.0,1.0
18,anei1239,8,0.0,1.0
19,anga1316,7,0.0,1.0
20,aniw1237,7,,0.0
21,anut1237,6,0.0,1.0
22,arak1252,6,0.0,1.0
23,araw1273,2,0.0,1.0
24,arik1262,9,0.0,1.0
25,aser1237,10,0.0,1.0
26,assa1263,1,0.0,1.0
27,assi1247,6,0.0,1.0
28,asut1235,0,0.0,1.0
29,atch1238,8,,0.0
30,atta1244,10,0.0,1.0
31,avat1244,2,0.0,1.0
32,ayiw1239,6,0.0,1.0
33,badi1246,5,0.0,1.0
34,baff1241,2,0.0,1.0
35,baho1237,10,0.0,1.0
36,bala1310,10,0.0,1.0
37,bala1314,10,0.0,1.0
38,bali1278,3,,0.0
39,balu1257,6,0.0,1.0
40,band1339,5,0.0,1.0
41,banj1239,2,0.0,1.0
42,bann1247,10,0.0,1.0
43,bann1248,6,0.0,1.0
44,bard1254,6,0.0,1.0
45,bari1288,10,0.0,1.0
46,basq1248,2,0.0,1.0
47,bata1285,0,0.0,1.0
48,bata1289,0,0.0,1.0
49,bats1242,2,0.0,1.0
50,bayu1240,6,0.0,1.0
51,beka1241,10,0.0,1.0
52,bela1254,10,0.0,1.0
53,bemb1257,0,0.0,1.0
54,bena1262,-1,0.25,0.0
55,bend1258,2,0.0,1.0
56,beng1280,1,0.0,1.0
57,bera1259,0,0.0,1.0
58,biak1248,0,0.0,1.0
59,bign1238,6,0.0,1.0
60,bign1238a,6,0.0,1.0
61,bila1255,0,0.0,1.0
62,bilb1241,2,0.0,1.0
63,bino1237,10,0.0,1.0
64,binu1244,10,0.0,1.0
65,biri1256,10,0.0,1.0
66,bloo1239,2,0.0,1.0
67,bont1247,10,0.0,1.0
68,boun1245,6,0.0,1.0
69,bret1244,10,0.0,1.0
70,brul1239,6,0.0,1.0
71,buhi1245,10,0.0,1.0
72,buin1247,6,0.0,1.0
73,buka1261,10,0.0,1.0
74,buku1249,-1,0.25,0.0
75,bulg1262,9,0.0,1.0
76,buli1256,10,0.0,1.0
77,bung1264,2,,0.0
